tcpdump -n -i eth0
17:06:18.306967 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26945680:26945892, ack 15337, win 501, options [nop,nop,TS val 3769979136 ecr 827633594], length 212
17:06:18.319312 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26977420:26977608, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 188
17:06:18.319369 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26977608:26977996, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 388
17:06:18.319412 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26977996:26978208, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 212
17:06:18.319450 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26978208:26978420, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 212
17:06:18.319495 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26978420:26978632, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 212
17:06:18.319535 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26978632:26978844, ack 15337, win 501, options [nop,nop,TS val 3769979148 ecr 827633613], length 212
17:06:18.319575 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26978844:26979056, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319614 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26979056:26979268, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319653 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26979268:26979480, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319691 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26979480:26979692, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319731 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26979692:26979904, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319770 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26979904:26980116, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319811 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26980116:26980328, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319848 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26980328:26980540, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319887 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26980540:26980752, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319925 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26980752:26980964, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.319964 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26980964:26981176, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320003 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26981176:26981388, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320043 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26981388:26981600, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320081 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26981600:26981812, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320120 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26981812:26982024, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320157 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26982024:26982236, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320195 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26982236:26982448, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320233 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26982448:26982660, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320273 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26982660:26982872, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320326 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26982872:26983084, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320364 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26983084:26983296, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320402 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26983296:26983508, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320473 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26983508:26983720, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320537 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26983720:26983932, ack 15337, win 501, options [nop,nop,TS val 3769979149 ecr 827633613], length 212
17:06:18.320596 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26983932:26984144, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320648 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26984144:26984356, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320705 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26984356:26984568, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320760 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26984568:26984780, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320814 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26984780:26984992, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320858 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26984992:26985204, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320905 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26985204:26985416, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.320962 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26985416:26985628, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321019 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26985628:26985840, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321085 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26985840:26986052, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321130 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26986052:26986264, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321185 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26986264:26986476, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321229 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26986476:26986688, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321267 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26986688:26986900, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321306 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26986900:26987112, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321344 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26987112:26987324, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321383 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26987324:26987536, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321421 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26987536:26987748, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321458 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26987748:26987960, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321498 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26987960:26988172, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321535 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26988172:26988384, ack 15337, win 501, options [nop,nop,TS val 3769979150 ecr 827633613], length 212
17:06:18.321574 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26988384:26988596, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321612 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26988596:26988808, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321655 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26988808:26989020, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321693 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26989020:26989232, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321734 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26989232:26989444, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321770 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26989444:26989656, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321810 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26989656:26989868, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321853 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26989868:26990080, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321892 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26990080:26990292, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321938 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26990292:26990504, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.321975 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26990504:26990716, ack 15337, win 501, options [nop,nop,TS val 3769979151 ecr 827633613], length 212
17:06:18.325985 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [P.], seq 15337:15373, ack 26588852, win 37094, options [nop,nop,TS val 827633613 ecr 3769978994], length 36
17:06:18.326026 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26611260, win 37094, options [nop,nop,TS val 827633619 ecr 3769979008], length 0
17:06:18.326085 IP 99.230.36.4.54786 > 68.183.205.32.22: Flags [.], ack 26615812, win 37094, options [nop,nop,TS val 827633620 ecr 3769979010], length 0
17:06:18.326249 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26990716:26990928, ack 15373, win 501, options [nop,nop,TS val 3769979155 ecr 827633613], length 212
17:06:18.326308 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26990928:26991444, ack 15373, win 501, options [nop,nop,TS val 3769979155 ecr 827633613], length 516
17:06:18.326391 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26991444:26991832, ack 15373, win 501, options [nop,nop,TS val 3769979155 ecr 827633613], length 388
17:06:18.326455 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26991832:26992044, ack 15373, win 501, options [nop,nop,TS val 3769979155 ecr 827633613], length 212
17:06:18.326509 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26992044:26992256, ack 15373, win 501, options [nop,nop,TS val 3769979155 ecr 827633613], length 212
17:06:18.326573 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26992256:26992468, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326624 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26992468:26992680, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326665 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26992680:26992892, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326706 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26992892:26993104, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326746 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26993104:26993316, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326784 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26993316:26993528, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326828 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26993528:26993740, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326866 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26993740:26993952, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326908 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26993952:26994164, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.326950 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26994164:26994376, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327008 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26994376:26994588, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327054 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26994588:26994800, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327093 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26994800:26995012, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327133 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26995012:26995224, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327186 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26995224:26995436, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327228 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26995436:26995648, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327267 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26995648:26995860, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327308 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26995860:26996072, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327345 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26996072:26996284, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327382 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26996284:26996496, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327422 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26996496:26996708, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327459 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26996708:26996920, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327497 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26996920:26997132, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327536 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26997132:26997344, ack 15373, win 501, options [nop,nop,TS val 3769979156 ecr 827633613], length 212
17:06:18.327573 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26997344:26997556, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327613 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26997556:26997768, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327650 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26997768:26997980, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327689 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26997980:26998192, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327726 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26998192:26998404, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327764 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26998404:26998616, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327802 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26998616:26998828, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327851 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26998828:26999040, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327888 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26999040:26999252, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327926 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26999252:26999464, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.327962 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26999464:26999676, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328002 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26999676:26999888, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328039 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 26999888:27000100, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328078 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27000100:27000312, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328115 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27000312:27000524, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328154 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27000524:27000736, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328190 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27000736:27000948, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328232 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27000948:27001160, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328272 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27001160:27001372, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328327 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27001372:27001584, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328364 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27001584:27001796, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328402 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27001796:27002008, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328440 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27002008:27002220, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328477 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27002220:27002432, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328516 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27002432:27002644, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328555 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27002644:27002856, ack 15373, win 501, options [nop,nop,TS val 3769979157 ecr 827633613], length 212
17:06:18.328594 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27002856:27003068, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328631 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27003068:27003280, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328671 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27003280:27003492, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328708 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27003492:27003704, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328744 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27003704:27003916, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328783 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27003916:27004128, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328821 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27004128:27004340, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328860 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27004340:27004552, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328921 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27004552:27004764, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.328997 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27004764:27004976, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329045 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27004976:27005188, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329085 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27005188:27005400, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329126 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27005400:27005612, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329163 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27005612:27005824, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329202 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27005824:27006036, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329241 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27006036:27006248, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329277 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27006248:27006460, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329350 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27006460:27006672, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329401 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27006672:27006884, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329443 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27006884:27007096, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329481 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27007096:27007308, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329520 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27007308:27007520, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329557 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27007520:27007732, ack 15373, win 501, options [nop,nop,TS val 3769979158 ecr 827633613], length 212
17:06:18.329596 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27007732:27007944, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329635 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27007944:27008156, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329673 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27008156:27008368, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329713 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27008368:27008580, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329751 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27008580:27008792, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329792 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27008792:27009004, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329829 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27009004:27009216, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
17:06:18.329868 IP 68.183.205.32.22 > 99.230.36.4.54786: Flags [P.], seq 27009216:27009428, ack 15373, win 501, options [nop,nop,TS val 3769979159 ecr 827633613], length 212
